,Light,Genotype,Status,ID,Starvation,Meal Size,Feed Speed,Prefeed Speed,Duringfeed Speed,Postfeed Speed,Meal Duration,Volume,Count,Duration,Latency,Duringfeed Speed Ratio,Perifeed Speed Ratio,Speed,Height,Food Port Occupancy,Ctrl Port Occupancy,Falls,date,Expt,GenoReduced,GenoReduced1,StatusExpt
0,25,w1118; uas-trhi,Ctrl,1,0,0.01671,0.0021667531120331,0.5473418341370218,0.587267605924106,0.3454277223042832,7.361999999999995,16.71,1.0,0.1226999999999999,2.316033333333333,1.072944856937592,0.6311005312592436,0.0960731100679975,3.10627714410228,0.1250078129883117,0.0,5.0,2022-04-21_12-54-34,TrhTrhi,Combined Controls,RNAi/W,Ctrl_TrhTrhi_Combined Controls
63,25,w1118; uas-trhi,Ctrl,21,0,0.0081972222222222,0.0008852433300753,3.094091143005716,1.0341310401105934,2.6338516055108854,5.515944444444447,73.77499999999999,9.0,0.827391666666667,8.595466666666665,0.3342277238497893,0.8512521072511986,1.7459190667527351,8.921927857855806,4.753074844955587,3.007132390218833,5.0,2022-05-06_13-16-17,TrhTrhi,Combined Controls,RNAi/W,Ctrl_TrhTrhi_Combined Controls
62,25,w1118; trh-gal4,Ctrl,19,0,0.0108176666666666,0.0012506994528834,0.0657692306268893,0.112213428945648,0.1031239341275981,9.606333333333168,32.452999999999896,3.0,0.4803166666666584,18.50098333333333,1.7061690987726152,1.5679662532867846,0.0634552909730008,14.981018786641696,70.53288052725517,0.0,8.0,2022-05-06_13-16-17,TrhTrhi,Combined Controls,Trh-Gal4/W,Ctrl_TrhTrhi_Combined Controls
61,25,w1118; trh-gal4,Ctrl,16,0,0.0066625833333333,0.0014511560755712,3.061797939170566,0.5366538414714014,2.9037928731699174,3.354333333333344,79.951,12.0,0.6708666666666687,4.995783333333334,0.1752740880140443,0.9483946788325778,0.7270118654534369,3.2108249183640183,1.5431520025557153,0.8097728330242863,56.0,2022-05-06_13-16-17,TrhTrhi,Combined Controls,Trh-Gal4/W,Ctrl_TrhTrhi_Combined Controls
60,25,w1118; trh-gal4,Ctrl,14,0,0.0077331,0.0017986621325073,3.148284123431504,0.7173945905696518,2.5699757862298,3.7906999999999775,77.331,10.0,0.6317833333333297,3.1870833333333333,0.2278684395828037,0.816309991560936,0.3866827596843058,10.027718576105851,0.690320922835455,0.2944628483724677,41.0,2022-05-06_13-16-17,TrhTrhi,Combined Controls,Trh-Gal4/W,Ctrl_TrhTrhi_Combined Controls
59,25,w1118; trh-gal4,Ctrl,11,0,0.00559490625,0.0009757602618967,2.7067602559373927,0.9871117041815648,2.39452808712038,3.6091250000000095,179.037,32.0,1.924866666666672,11.1476,0.3646838326432102,0.8846472759705563,0.9205424890005466,8.072453320369238,2.9758804369717557,1.2042419317874034,39.0,2022-05-06_13-16-17,TrhTrhi,Combined Controls,Trh-Gal4/W,Ctrl_TrhTrhi_Combined Controls
58,25,w1118; uas-trhi,Ctrl,24,0,0.00613775,0.0010533563601527,2.80403186461992,0.7423664302823824,2.138453160607582,4.639275000000035,122.75500000000001,20.0,1.5464250000000117,1.056533333333333,0.2647496412752101,0.7626351139548996,0.8216007085519682,10.844634001742094,3.13283469105708,0.7049051676840914,9.0,2022-05-06_13-16-17,TrhTrhi,Combined Controls,RNAi/W,Ctrl_TrhTrhi_Combined Controls
57,25,w1118; trh-gal4,Ctrl,8,0,0.0044233181818181,0.0011176416009114,2.949319625137844,1.1120347050922366,2.775395688522708,2.2341704545454903,194.626,44.0,1.638391666666693,2.178916666666667,0.3770478776237292,0.9410291325725648,1.0633119547093954,9.353493187781304,2.380704349577404,1.0174247001548709,135.0,2022-04-27_11-48-57,TrhTrhi,Combined Controls,Trh-Gal4/W,Ctrl_TrhTrhi_Combined Controls
56,25,w1118; trh-gal4,Ctrl,5,0,0.0152767272727272,0.0013025914265715,2.528422269093318,0.725641770134619,1.583789130481655,5.57040909090911,168.044,11.0,1.0212416666666704,21.1817,0.2869939009020163,0.6263942340017419,0.6649560073564905,3.2027148039135005,2.047350181608573,0.7312957059816239,108.0,2022-04-27_11-48-57,TrhTrhi,Combined Controls,Trh-Gal4/W,Ctrl_TrhTrhi_Combined Controls
64,25,w1118; trh-gal4,Ctrl,22,0,0.0059057499999999,0.0011568301202629,2.633919219296488,0.6423136239500894,2.6008422074490403,4.008525000000065,118.115,20.0,1.336175000000022,9.481283333333332,0.2438623095364517,0.9874419034550792,1.085995555078765,10.11398725035978,4.35166086769312,1.7785833836837024,82.0,2022-05-06_13-16-17,TrhTrhi,Combined Controls,Trh-Gal4/W,Ctrl_TrhTrhi_Combined Controls
